idCarpeta,Delito,Categoria,Sexo,Edad,TipoPersona,CalidadJuridica,competencia,Año_hecho,Mes_hecho,AlcaldiaHechos,ColoniaHechos,Calle_hechos,Calle_hechos2,latitud,longitud,Hora_Hechos_24,Tipo_de_delito,Años_sentencia ,Escala_clasificacion,Casos
8796891,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,38.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Noviembre,Iztapalapa,SAN JUAN XALPA,BILBAO,PROLONGACION  CEREZO,19.3300219057651,-99.0863940074562,11,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8364883,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,40.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Febrero,Miguel Hidalgo,MARIANO ESCOBEDO,LAGO BOLSENA,,19.44535,-99.18131,19,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,3,1,1
8554861,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,ROBO A PASAJERO A BORDO DE MICROBUS CON Y SIN VIOLENCIA,Masculino,44.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Octubre,Gustavo A. Madero,ESTRELLA,FERROCARRIL HIDALGO,TESORO,19.47247,-99.11385,6,ROBO A PASAJERO A BORDO DE PESERO COLECTIVO CON VIOLENCIA,3,1,1
8717870,ABUSO SEXUAL,DELITO DE BAJO IMPACTO,Femenino,20.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Julio,Venustiano Carranza,CUCHILLA PANTITLAN,CALLE 2 412,,19.423183801782397,-99.0664384004738,23,ABUSO SEXUAL,3,1,1
8478553,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Julio,Miguel Hidalgo,TACUBAYA,PARQUE LIRA,ITURBIDE,19.4019,-99.18671,18,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8728891,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Masculino,46.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2020,Julio,Azcapotzalco,TEZOZOMOC,RAFAEL ALDUCIN,,19.4911891200948,-99.20077573807319,20,ROBO A TRANSEUNTE EN VIA PUBLICA CON VIOLENCIA,3,1,1
8492727,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,38.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Agosto,Venustiano Carranza,LORENZO BOTURINI,CALLEJON DE CUITLAHUAC,,19.41588,-99.12649,8,ROBO DE OBJETOS,3,1,1
8433143,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,,,MORAL,OFENDIDO,FUERO COMUN,2015,Mayo,Tlalpan,SAN ANDRÉS TOTOLTEPEC,PRIVADA MIRAVALLE,,19.24197,-99.16554,12,ROBO DE OBJETOS,3,1,1
8432384,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,ROBO A TRANSEUNTE EN VÍA PÚBLICA CON Y SIN VIOLENCIA,Femenino,41.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Mayo,Iztapalapa,LOMAS DE ZARAGOZA,BENITO JUAREZ,,19.35304,-98.99955,5,ROBO A TRANSEUNTE EN VIA PUBLICA SIN VIOLENCIA,3,1,1
8579834,ROBO DE OBJETOS,DELITO DE BAJO IMPACTO,Masculino,33.0,FISICA,VICTIMA Y DENUNCIANTE,FUERO COMUN,2019,Noviembre,Cuauhtémoc,GUERRERO,SOTO,CAMELIA,19.445970000000006,-99.14342,9,ROBO DE OBJETOS,3,1,1
